fileName1	fileName2	sampleName	repeatNum	laneNum	date
/mnt/imaging.data/mdas/RNA_seq_2020/366b1/366B1_L1_R1_001_F6TKUgD2sWF3.fastq.gz	NA	366	B1	L1	2020
/mnt/imaging.data/mdas/RNA_seq_2020/366b1/366B1_L2_R1_001_Aekf4XsT6VYC.fastq.gz	NA	366	B1	L2	2020
/mnt/imaging.data/mdas/RNA_seq_2020/366b2/366B2_L1_R1_001_VukPzfB7UznO.fastq.gz	NA	366	B2	L1	2020
/mnt/imaging.data/mdas/RNA_seq_2020/366b2/366B2_L2_R1_001_6eYI0PJPBw8Q.fastq.gz	NA	366	B2	L2	2020
/mnt/imaging.data/mdas/RNA_seq_2020/366b3/366B3_L1_R1_001_9YNWmzpY47EG.fastq.gz	NA	366	B3	L1	2020
/mnt/imaging.data/mdas/RNA_seq_2020/366b3/366B3_L2_R1_001_v1BuQK0d8xsQ.fastq.gz	NA	366	B3	L2	2020
/mnt/imaging.data/mdas/RNA_seq_2020/366b4/366B4_L1_R1_001_oOmUjBH4ogzp.fastq.gz	NA	366	B4	L1	2020
/mnt/imaging.data/mdas/RNA_seq_2020/366b4/366B4_L2_R1_001_KluTH7GqLaqT.fastq.gz	NA	366	B4	L2	2020
/mnt/imaging.data/mdas/20210421_RNAseq_TEV/366C_1/366C1_L1_R1_001_yYNqwishzWTA.fastq.gz	/mnt/imaging.data/mdas/20210421_RNAseq_TEV/366C_1/366C1_L1_R2_001_ERQ6rABXFI7g.fastq.gz	366	C1	L1	20210421
/mnt/imaging.data/mdas/20210421_RNAseq_TEV/366C_1/366C1_L2_R1_001_fzQXUDsOOODQ.fastq.gz	/mnt/imaging.data/mdas/20210421_RNAseq_TEV/366C_1/366C1_L2_R2_001_YuRKEPO8cjem.fastq.gz	366	C1	L2	20210421
/mnt/imaging.data/mdas/20210628_RNAseq_TEV/366_C2/366C2_L1_R1_001_pl8yzAZgjsvK.fastq.gz	/mnt/imaging.data/mdas/20210628_RNAseq_TEV/366_C2/366C2_L1_R2_001_zhd5zGlpY8GX.fastq.gz	366	C2	L1	20210628
/mnt/imaging.data/mdas/20210628_RNAseq_TEV/366_C2/366C2_L2_R1_001_3k6qtwyWLYjh.fastq.gz	/mnt/imaging.data/mdas/20210628_RNAseq_TEV/366_C2/366C2_L2_R2_001_zlZk43H3Ghbd.fastq.gz	366	C2	L2	20210628
/mnt/imaging.data/mdas/20210628_RNAseq_TEV/366_C3/366C3_L1_R1_001_y5hWcd7HkCrr.fastq.gz	/mnt/imaging.data/mdas/20210628_RNAseq_TEV/366_C3/366C3_L1_R2_001_Z1XX40dvM868.fastq.gz	366	C3	L1	20210628
/mnt/imaging.data/mdas/20210628_RNAseq_TEV/366_C3/366C3_L2_R1_001_KQg5NmSZshKq.fastq.gz	/mnt/imaging.data/mdas/20210628_RNAseq_TEV/366_C3/366C3_L2_R2_001_DdcIruIUUJss.fastq.gz	366	C3	L2	20210628
